BenchmarkCode,DateFrom,DateTo,Performance
JB03,2014-03-01,2014-03-31,-3.6210542057
JB03,2014-04-01,2014-04-30,0.4805583013
JB03,2014-05-01,2014-05-31,0.1159412156
JB03,2014-06-01,2014-06-30,0.7237980978
JB03,2014-07-01,2014-07-31,0.1293473637
JB03,2014-08-01,2014-08-31,0.5884883726
JB03,2014-09-01,2014-09-30,-0.1141544283
JB03,2014-10-01,2014-10-31,0.3571449770
JB03,2014-11-01,2014-11-30,1.7793592357
JB03,2014-12-01,2014-12-31,-0.0000002012
JB03,2015-01-01,2015-01-31,-14.6853139606
JB03,2015-02-01,2015-02-28,0.0000000000
JB03,2015-03-01,2015-03-31,0.1311482057
JB03,2015-04-01,2015-04-30,0.1473480000
JB03,2015-05-01,2015-05-31,0.2615658183
JB03,2015-06-01,2015-06-30,0.1467470000
JB03,2015-07-01,2015-07-31,2.5724514463
JB03,2015-08-01,2015-08-31,0.0000000000
JB03,2015-09-01,2015-09-30,0.1269840000
JB03,2015-10-01,2015-10-31,0.1426760000
JB03,2015-11-01,2015-11-30,3.1660589385
JB03,2015-12-01,2015-12-31,1.6572046012
JB03,2016-01-01,2016-01-31,5.4037740950
JB03,2016-02-01,2016-02-29,0.2434474639
JB03,2016-03-01,2016-03-31,3.3285726201
JB03,2016-04-01,2016-04-30,0.9263106854
JB03,2016-05-01,2016-05-31,0.2328770303
JB03,2016-06-01,2016-06-30,0.5603403959
JB03,2016-07-01,2016-07-31,-0.1087250000
JB03,2016-08-01,2016-08-31,0.1088434629
JB03,2016-09-01,2016-09-30,0.0000000000
JB03,2016-10-01,2016-10-31,0.0000000000
JB03,2016-11-01,2016-11-30,0.0000005714
JB03,2016-12-01,2016-12-31,0.0000000000
JB03,2017-01-01,2017-01-31,0.1223160000
JB03,2017-02-01,2017-02-28,-0.5701104992
JB03,2017-03-01,2017-03-31,0.4505121664
JB03,2017-04-01,2017-04-30,-0.2174502283
JB03,2017-05-01,2017-05-31,-0.1225820000
JB03,2017-06-01,2017-06-30,0.1227324410
JB03,2017-07-01,2017-07-31,-3.6366112384
JB03,2017-08-01,2017-08-31,-0.3533566456
JB03,2017-09-01,2017-09-30,-0.8226955179
JB03,2017-10-01,2017-10-31,0.8295203912
JB03,2017-11-01,2017-11-30,1.0638296504
JB03,2017-12-01,2017-12-31,0.4631581904
JB03,2018-01-01,2018-01-31,-0.3492592744
JB03,2018-02-01,2018-02-28,-0.1121550000
JB03,2018-03-01,2018-03-31,-3.6210530000
JB03,2018-04-01,2018-04-30,0.4805592507
JB03,2018-05-01,2018-05-31,0.1159420000
JB03,2018-06-01,2018-06-30,0.7237981584
JB03,2018-07-01,2018-07-31,0.1293480000
JB03,2018-08-01,2018-08-31,0.5884886883
JB03,2018-09-01,2018-09-30,-0.1141547463
JB03,2018-10-01,2018-10-31,0.3571439881
JB03,2018-11-01,2018-11-30,1.7793591430
JB03,2018-12-01,2018-12-31,0.0000000000
JB03,2019-01-01,2019-01-31,0.0000000000
JB06,2005-01-01,2005-01-31,-1.2377833840
JB06,2005-02-01,2005-02-28,16.3720324804
JB06,2005-03-01,2005-03-31,-4.9087410245
JB06,2005-04-01,2005-04-30,-3.4334780529
JB06,2005-05-01,2005-05-31,-9.9259235649
JB06,2005-06-01,2005-06-30,3.9336628100
JB06,2005-07-01,2005-07-31,5.9343242763
JB06,2005-08-01,2005-08-31,-6.6849250399
JB06,2005-09-01,2005-09-30,0.4935952304
JB06,2005-10-01,2005-10-31,2.2169112856
JB06,2005-11-01,2005-11-30,-0.3246753944
JB06,2005-12-01,2005-12-31,-0.0000000281
JB06,2006-01-01,2006-01-31,-1.2377836810
JB06,2006-02-01,2006-02-28,0.2638521599
JB06,2006-03-01,2006-03-31,-9.4736843728
JB06,2006-04-01,2006-04-30,-0.7994198905
JB06,2006-05-01,2006-05-31,0.6593407146
JB06,2006-06-01,2006-06-30,-1.2372620228
JB06,2006-07-01,2006-07-31,-1.3264554097
JB06,2006-08-01,2006-08-31,-3.6594498463
JB06,2006-09-01,2006-09-30,-3.7209294100
JB06,2006-10-01,2006-10-31,-3.7842163348
JB06,2006-11-01,2006-11-30,-3.9330543387
JB06,2006-12-01,2006-12-31,-0.8710801116
JB06,2007-01-01,2007-01-31,2.4604583831
JB06,2007-02-01,2007-02-28,0.4288179148
JB06,2007-03-01,2007-03-31,0.2561938400
JB06,2007-04-01,2007-04-30,-0.2044284621
JB06,2007-05-01,2007-05-31,0.2901985905
JB06,2007-06-01,2007-06-30,-1.2765964710
JB06,2007-07-01,2007-07-31,1.0344840791
JB06,2007-08-01,2007-08-31,-2.9180882998
JB06,2007-09-01,2007-09-30,0.1933549605
JB06,2007-10-01,2007-10-31,0.5263150719
JB06,2007-11-01,2007-11-30,1.6579405791
JB06,2007-12-01,2007-12-31,0.0000018928
JB06,2008-01-01,2008-01-31,0.6523590040
JB06,2008-02-01,2008-02-29,0.3752330484
JB06,2008-03-01,2008-03-31,0.0169924993
JB06,2008-04-01,2008-04-30,-0.1868836813
JB06,2008-05-01,2008-05-31,-0.6808506183
JB06,2008-06-01,2008-06-30,-2.4850014562
JB06,2008-07-01,2008-07-31,-7.8383125076
JB06,2008-08-01,2008-08-31,-0.5911539469
JB06,2008-09-01,2008-09-30,0.5946672410
JB06,2008-10-01,2008-10-31,0.5911525579
JB06,2008-11-01,2008-11-30,1.4218022236
JB06,2008-12-01,2008-12-31,-0.3551401179
JB06,2009-01-01,2009-01-31,0.3564085756
JB06,2009-02-01,2009-02-28,-0.3177564957
JB06,2009-03-01,2009-03-31,1.3500834796
JB06,2009-04-01,2009-04-30,-1.1655864428
JB06,2009-05-01,2009-05-31,0.6177446500
JB06,2009-06-01,2009-06-30,0.9302298426
JB06,2009-07-01,2009-07-31,1.2350213880
JB06,2009-08-01,2009-08-31,1.9664969996
JB06,2009-09-01,2009-09-30,-0.8928576220
JB06,2009-10-01,2009-10-31,-0.4504492386
